year,playlist_genre,avg_duration
1987,latin,4.020938888888889
1987,pop,4.393688888888889
1987,r&b,4.799618817204301
1987,rap,4.65969375
1987,rock,4.547593274853801
1988,latin,4.641396875
1988,pop,5.162542592592592
1988,r&b,4.837404838709677
1988,rap,4.761288095238096
1988,rock,4.436875821596244
1989,latin,4.626492424242425
1989,pop,4.443696666666667
1989,r&b,4.8606407801418445
1989,rap,4.365376666666666
1989,rock,4.326689285714285
1990,edm,4.885116666666667
1990,latin,4.221325490196079
1990,pop,4.25213125
1990,r&b,4.994596969696969
1990,rap,4.546651190476191
1990,rock,4.294811956521739
1991,edm,4.164883333333333
1991,latin,4.335611111111111
1991,pop,4.909233333333333
1991,r&b,4.66718630952381
1991,rap,4.346626
1991,rock,4.760326666666667
1992,latin,4.821111111111112
1992,pop,4.147461111111111
1992,r&b,4.4212384879725075
1992,rap,4.434384959349592
1992,rock,4.227552136752137
1993,edm,3.5757833333333333
1993,latin,4.24046282051282
1993,pop,4.530983333333333
1993,r&b,4.6898937499999995
1993,rap,4.398797453703704
1993,rock,4.044831699346405
1994,edm,5.307783333333333
1994,latin,4.487616666666667
1994,pop,3.8784722222222223
1994,r&b,4.2757557870370375
1994,rap,4.367905416666667
1994,rock,4.358199425287356
1995,edm,3.14285
1995,latin,4.365307407407408
1995,pop,3.8100371794871797
1995,r&b,4.624418489583333
1995,rap,4.448058444444444
1995,rock,4.4791163194444445
1996,edm,4.79845
1996,latin,3.3740192307692305
1996,pop,4.010354901960784
1996,r&b,4.589008239700375
1996,rap,4.4812784210526315
1996,rock,4.2827842857142855
1997,latin,4.268190579710145
1997,pop,3.893813888888889
1997,r&b,4.586729588014982
1997,rap,4.416474829931972
1997,rock,4.482642083333333
1998,edm,6.882883333333334
1998,latin,4.135814285714286
1998,pop,4.030788461538461
1998,r&b,4.763949230769231
1998,rap,4.580035585585586
1998,rock,4.28050925925926
1999,edm,4.926666666666667
1999,latin,3.6493032051282053
1999,pop,3.872198148148148
1999,r&b,4.1699546666666665
1999,rap,4.107334082397004
1999,rock,4.167810199004975
2000,edm,4.274945833333334
2000,latin,4.088997619047619
2000,pop,3.9615870370370367
2000,r&b,4.424390759075907
2000,rap,4.309074691358025
2000,rock,3.981423774509804
2001,edm,4.841538888888889
2001,latin,4.234040384615384
2001,pop,4.00405505050505
2001,r&b,4.3535903780068725
2001,rap,4.555507909604519
2001,rock,4.014046985815603
2002,edm,3.9338875
2002,latin,4.007180701754385
2002,pop,3.982173913043478
2002,r&b,4.215524666666667
2002,rap,4.4896827160493835
2002,rock,4.233976836158193
2003,edm,5.948263333333333
2003,latin,3.890605673758865
2003,pop,3.885804761904762
2003,r&b,4.297084951456311
2003,rap,4.18599149659864
2003,rock,3.8168550925925926
2004,edm,4.554888888888888
2004,latin,3.8242052631578947
2004,pop,4.07763125
2004,r&b,4.251473835125448
2004,rap,4.133472222222222
2004,rock,4.158407744107744
2005,edm,4.9410125
2005,latin,3.8454574879227055
2005,pop,4.028474999999999
2005,r&b,4.314943925233645
2005,rap,4.086060052910053
2005,rock,3.89736240530303
2006,edm,5.259898958333333
2006,latin,3.863034239130435
2006,pop,4.145153
2006,r&b,4.138897843137255
2006,rap,4.02963498349835
2006,rock,3.9607265676567653
2007,edm,4.916876436781609
2007,latin,3.993178712871287
2007,pop,4.086058666666666
2007,r&b,4.2612385057471265
2007,rap,4.122949810606061
2007,rock,4.066712028985507
2008,edm,5.0089453488372095
2008,latin,3.533618907563025
2008,pop,3.906913541666667
2008,r&b,4.251645038167939
2008,rap,4.312338
2008,rock,4.1366117370892015
2009,edm,4.85837925925926
2009,latin,3.92514011299435
2009,pop,3.8065585964912283
2009,r&b,4.148500241545894
2009,rap,4.3025968390804605
2009,rock,4.1358679924242425
2010,edm,3.995242792792793
2010,latin,3.7996683862433858
2010,pop,3.7966210019267823
2010,r&b,4.2971868627450975
2010,rap,4.210237387387388
2010,rock,4.238361944444445
2011,edm,4.658640765765766
2011,latin,4.342712896825398
2011,pop,4.050051388888889
2011,r&b,4.314380933333334
2011,rap,4.0832179166666664
2011,rock,4.175648969072165
2012,edm,4.534673823529412
2012,latin,3.9542834586466165
2012,pop,3.8322750946969695
2012,r&b,4.33976968503937
2012,rap,4.208399145299145
2012,rock,4.360124867724868
2013,edm,4.487142279020234
2013,latin,4.007866666666667
2013,pop,3.999994640234948
2013,r&b,3.9987511494252876
2013,rap,4.045228853046595
2013,rock,4.034023611111111
2014,edm,4.312790218676123
2014,latin,3.9599442424242426
2014,pop,3.810745200421941
2014,r&b,4.065830318257956
2014,rap,3.8965045714285713
2014,rock,4.169654761904762
2015,edm,3.9217965007215003
2015,latin,3.793903008423586
2015,pop,3.7696271398747387
2015,r&b,3.9319220647773276
2015,rap,3.585298439716312
2015,rock,4.075249578059071
2016,edm,3.707966198125837
2016,latin,3.5898161777777777
2016,pop,3.657379849340866
2016,r&b,3.816552421652422
2016,rap,3.5614722598870054
2016,rock,4.172671861471861
2017,edm,3.7618793552812075
2017,latin,3.527758417508417
2017,pop,3.588100792079208
2017,r&b,3.7233838721264365
2017,rap,3.444240244780418
2017,rock,4.213990086206897
2018,edm,3.580262958057395
2018,latin,3.440423515579071
2018,pop,3.453109540719697
2018,r&b,3.566486762536873
2018,rap,3.1027870449172577
2018,rock,3.829137726098191
2019,edm,3.2876488941548185
2019,latin,3.4000191059073974
2019,pop,3.2963011046370476
2019,r&b,3.34465108401084
2019,rap,3.055587664473684
2019,rock,3.6770344309647602
2020,edm,3.236869112318841
2020,latin,3.3498390585241733
2020,pop,3.3341332352941175
2020,r&b,3.2248197132616485
2020,rap,3.0421861635220124
2020,rock,3.762882638888889
