year,playlist_genre,danceability,valence,energy,loudness,mode
2003,pop,0.6649285714285714,0.5970892857142857,0.7484642857142857,-6.219142857142857,0.8214285714285714
2003,r&b,0.6881456310679612,0.5885339805825243,0.5714174757281554,-7.755009708737863,0.5339805825242718
2003,rap,0.7192142857142858,0.6771122448979592,0.7665714285714286,-4.5525714285714285,0.4897959183673469
2003,rock,0.5204166666666666,0.5639875000000001,0.7697777777777778,-6.174805555555555,0.6944444444444444
2004,edm,0.7673333333333333,0.4833333333333334,0.7803333333333334,-7.559,0.3333333333333333
2004,latin,0.7552368421052632,0.6701578947368422,0.7064605263157895,-7.085815789473685,0.5263157894736842
2004,pop,0.6569583333333333,0.698375,0.793875,-5.573458333333334,0.5416666666666666
2004,r&b,0.6906559139784946,0.6031827956989247,0.5645623655913978,-7.93494623655914,0.43010752688172044
2004,rap,0.755311111111111,0.6379488888888889,0.7286111111111111,-5.697211111111112,0.5777777777777777
2004,rock,0.4735252525252525,0.46824444444444446,0.784959595959596,-6.185161616161617,0.6767676767676768
2005,edm,0.736125,0.67325,0.8216249999999999,-5.683,0.5
2005,latin,0.7185217391304348,0.6765942028985508,0.7302753623188406,-6.510652173913043,0.5507246376811594
2005,pop,0.5774090909090909,0.4973318181818182,0.7744545454545455,-5.518590909090909,0.5454545454545454
2005,r&b,0.6710560747663551,0.6191794392523364,0.6081121495327103,-7.364719626168224,0.4766355140186916
2005,rap,0.7115952380952381,0.5716134920634921,0.7007222222222222,-5.946936507936508,0.6031746031746031
2005,rock,0.5216363636363636,0.5491772727272727,0.7701647727272728,-7.060943181818181,0.6988636363636364
2006,edm,0.706,0.5988749999999999,0.76875,-7.636,0.6875
2006,latin,0.7439565217391305,0.6876521739130436,0.7265434782608695,-6.180391304347826,0.5652173913043478
2006,pop,0.62358,0.572796,0.74844,-6.805739999999999,0.68
2006,r&b,0.6326823529411765,0.5373,0.5739294117647059,-7.5570941176470585,0.5647058823529412
2006,rap,0.7123564356435643,0.6233168316831683,0.7019405940594059,-5.98690099009901,0.4752475247524752
2006,rock,0.48900000000000005,0.5100376237623763,0.7897920792079208,-5.392168316831683,0.7227722772277227
2007,edm,0.7316551724137931,0.5852758620689655,0.7142413793103448,-6.987068965517241,0.5517241379310345
2007,latin,0.7318415841584158,0.6947227722772278,0.7265841584158417,-7.794891089108911,0.46534653465346537
2007,pop,0.63832,0.536504,0.77488,-5.9373000000000005,0.54
2007,r&b,0.6675402298850575,0.6213103448275862,0.6021149425287357,-7.5779425287356315,0.5402298850574713
2007,rap,0.7024431818181818,0.6139613636363636,0.7446477272727272,-5.447227272727273,0.4431818181818182
2007,rock,0.5318347826086957,0.5618182608695652,0.7783652173913044,-6.0831478260869565,0.6869565217391305
2008,edm,0.7467906976744186,0.627686046511628,0.7516744186046512,-6.2337209302325585,0.3953488372093023
2008,latin,0.6958067226890756,0.709453781512605,0.7350168067226891,-8.392159663865547,0.5126050420168067
2008,pop,0.5853839285714286,0.5795142857142858,0.7893848214285715,-5.5076875,0.5714285714285714
2008,r&b,0.6558396946564886,0.5741068702290076,0.5948656488549618,-7.584366412213741,0.46564885496183206
2008,rap,0.6923733333333333,0.6016266666666666,0.67228,-6.439493333333333,0.6266666666666667
2008,rock,0.5067816901408451,0.5840802816901409,0.7816971830985916,-6.631725352112676,0.7183098591549296
2009,edm,0.7491777777777778,0.55862,0.7567999999999999,-6.606644444444444,0.5333333333333333
2009,latin,0.7251949152542372,0.6521593220338984,0.7658050847457627,-5.87792372881356,0.5338983050847458
2009,pop,0.5969473684210527,0.5886105263157895,0.8087368421052631,-5.640631578947368,0.7052631578947368
2009,r&b,0.6421159420289855,0.5722057971014493,0.6271159420289856,-7.575492753623189,0.5797101449275363
2009,rap,0.6705862068965517,0.5830344827586207,0.7519827586206896,-5.557931034482759,0.5172413793103449
2009,rock,0.527159090909091,0.5650522727272728,0.7625090909090908,-7.168602272727273,0.7272727272727273
2010,edm,0.6995405405405405,0.5289162162162162,0.8164594594594594,-5.530594594594595,0.4594594594594595
2010,latin,0.7052539682539682,0.707015873015873,0.7757380952380952,-5.898007936507937,0.5634920634920635
2010,pop,0.6168381502890173,0.6062994219653178,0.7773063583815029,-5.748260115606936,0.630057803468208
2010,r&b,0.6226352941176471,0.5561764705882353,0.6076047058823529,-7.250552941176471,0.5411764705882353
2010,rap,0.6742027027027027,0.5564189189189189,0.6945135135135135,-6.412364864864864,0.5945945945945946
